Ap1,Ap3,Ap4,Ap5,Ap6,Ap8,Ap11,Ap12,Ap13,Ap14,Ap16,Ap19,Ap22,Ap23,Ap24,Ap27,Ap29,Ap34,Ap35,Ap38,Ap39,Ap41,Ap43,Ap45,Ap48,Ap49,Ap50,Ap56,Ap60,Ap66,Ap70,Ap74,Ap76,Ap78,Ap79,Ap85,Ap87,Ap93,Ap102,Ap104,Ap110,Ap112,Ap114,Ap117,Ap120,Ap122,Ap129,Ap131,Ap132,zona
-88.0,-60.0,-63.0,-78.0,-81.0,-81.0,-58.0,-80.0,-79.0,-67.0,-79.0,-87.0,-79.0,-83.0,-86.0,-100.0,-100.0,-81.0,-88.0,-100.0,-100.0,-93.0,-100.0,-86.0,-100.0,-90.0,-76.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-88.0,-60.0,-63.0,-78.0,-81.0,-81.0,-58.0,-80.0,-79.0,-67.0,-79.0,-87.0,-79.0,-83.0,-86.0,-100.0,-100.0,-81.0,-88.0,-100.0,-100.0,-93.0,-100.0,-86.0,-100.0,-90.0,-76.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-100.0,-60.0,-69.0,-76.0,-85.0,-78.0,-55.0,-100.0,-100.0,-68.0,-82.0,-81.0,-84.0,-85.0,-82.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-100.0,-56.0,-72.0,-79.0,-85.0,-74.0,-55.0,-100.0,-85.0,-78.0,-82.0,-87.0,-83.0,-87.0,-82.0,-100.0,-100.0,-83.0,-87.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-100.0,-56.0,-72.0,-79.0,-85.0,-74.0,-55.0,-100.0,-85.0,-78.0,-82.0,-87.0,-83.0,-87.0,-82.0,-100.0,-100.0,-83.0,-87.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-100.0,-56.0,-72.0,-79.0,-85.0,-74.0,-55.0,-100.0,-85.0,-78.0,-82.0,-87.0,-83.0,-87.0,-82.0,-100.0,-100.0,-83.0,-87.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-56.0,-72.0,-79.0,-85.0,-74.0,-55.0,-100.0,-85.0,-78.0,-82.0,-87.0,-83.0,-87.0,-82.0,-100.0,-100.0,-83.0,-87.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-57.0,-72.0,-68.0,-79.0,-74.0,-55.0,-78.0,-85.0,-70.0,-82.0,-82.0,-83.0,-79.0,-80.0,-100.0,-100.0,-78.0,-87.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-57.0,-72.0,-68.0,-79.0,-74.0,-55.0,-78.0,-85.0,-70.0,-82.0,-82.0,-83.0,-79.0,-80.0,-100.0,-100.0,-78.0,-87.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-65.0,-74.0,-100.0,-100.0,-100.0,-59.0,-82.0,-100.0,-68.0,-82.0,-87.0,-77.0,-82.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
